"","index","day_date","revenue","fb_adv","fb_awareness","fb_consideration","fb_intent","fb_loyalty","ga_brand","ga_other","ga_nonbrand","ga_shoppmax","tiktok_cost","influencer_cost","other_cost","sale_status","mb_status","email_sms_campaign","organic_impressions","solidcolor_launch","print_launch","product_launch"
"62",619,2022-09-11,83921.5,3135.72,16804.75,4242.36,2528.11,0,1307.15,320.36,671.13,3777.79,942.88,0,4.15,0,0,1011741,30506,0,0,10
"63",620,2022-09-12,70423.9,3104.11,16680.35,4212.19,2492.85,0,1346.7,357.82,498.82,2675.06,954.39,8800,19.35,0,0,59,29120,0,0,8
"64",621,2022-09-13,72537.19,3021.13,16206.27,4078.27,2461.65,0,1443.47,396.27,629.38,3546.92,953.46,19900,32.11,0,0,290318,28908,0,0,6
"65",622,2022-09-14,67744.05,1570.34,14242.1,3819.02,2353,0,1213.91,302.24,557.92,3578.3,962.72,1500,17.54,0,0,59,24186,0,0,5
"66",623,2022-09-15,307381.96,976.89,14528.1,3717.35,2295.96,0,1847.67,300.52,541.8,3721.86,959.14,16758.377,57.43,0,0,920168,25761,0,28,4
"67",624,2022-09-16,138215.38,943.25,17298.5,4037.96,1351.37,0,1394.95,355.57,414.29,3455.05,1278.28,17500,42.3,0,0,1506193,22228,0,27,3
"68",625,2022-09-17,93621.78,998.99,19594.62,5086.79,1367.42,0,1072.54,259.5,370.4,3999.78,959.44,1000,24.4,0,0,884175,21874,0,26,2
"69",626,2022-09-18,93751.64,1053.33,20278.4,5332.78,1428.2,0,1238.84,320.7,620.68,4392.69,980.37,0,20.62,0,0,0,20834,0,25,1
"70",627,2022-09-19,115255.11,1006.82,18210.84,4992.73,1403.25,0,1222.4,322.19,482.21,3467.65,407.6,2600,87.91,0,0,921602,21670,0,24,0
"71",628,2022-09-20,96869.49,1013.14,15295.43,3846.18,1366.7,0,1192.39,258.64,393.99,3031.9,2.22,900,17.09,0,0,833787,20965,0,23,0
"72",629,2022-09-21,103965.81,986.51,14878.23,3749.4,1362.6,0,1199.85,237.02,486.35,2872.88,868.62,4750,10.43,0,0,133,20627,0,22,28
"73",630,2022-09-22,112347.48,982.32,15630.42,3973.31,1323.71,0,1243.12,194.32,387.55,2387.8,991.95,4500,54.72,0,0,1234816,22106,0,21,27
"74",631,2022-09-23,183957.93,965.1,13366.2,3438.03,1291.26,0,1169.66,242.22,424.46,2581.42,987.72,6250,27.06,0,1,0,20913,0,20,26
"75",632,2022-09-24,75938.45,992.78,13189.62,3395.88,1319.46,0,1107.97,271.35,497.15,2704.49,994.18,0,13.89,0,0,988561,20764,0,19,25
"76",633,2022-09-25,66442.98,1373.67,13530.36,3554.92,1416.16,0,1112.74,260.21,502.12,3362.62,989.58,0,23.5,0,0,532853,19894,0,18,24
"77",634,2022-09-26,93661.62,2095.11,12909.64,3590.23,1394.72,0,1143.44,294.16,485.44,3634.59,559.16,0,52.7,0,0,59,22928,0,17,23
"78",635,2022-09-27,65550.84,2047.57,12951.52,3567.13,1380.17,0,1131.08,268.38,500.51,4012.91,25.42,2500,0,0,0,941609,27463,0,16,22
"79",636,2022-09-28,63295.65,2011.84,13776.94,3309.37,1249.81,0,1055.69,261.93,483.47,4039.79,1000,8000,18.39,0,0,46169,27099,0,15,21
"80",637,2022-09-29,69574.32,1992.03,14595.26,1661.57,311.18,0,1201.1,288.02,503.84,3644.02,990.89,12000,3.52,0,0,930019,26791,0,14,20
"81",638,2022-09-30,79954.64,1964.77,14381.72,1638.77,305.09,0,1029.18,265.97,511.41,3287.19,991.02,0,16.02,0,0,1045670,28925,0,13,19
"82",639,2022-10-01,69575.85,2342.75,15696.63,1550.95,343.62,0,1233.72,203.39,581.58,3591.71,986.66,0,4.07,0,0,0,29597,0,12,18
"83",640,2022-10-02,90533.31,2643.6,16780.31,1694.65,399.63,0,1362.07,258.8,571.95,4748.74,998.09,0,11.99,0,0,1106810,31408,0,11,17
"84",641,2022-10-03,70782.77,2472.78,16285.96,1643.81,395.99,0,1300.61,291,673.36,4266.54,984.41,500,99.05,0,0,13512,28823,0,10,16
"85",642,2022-10-04,81503.42,2545.2,16205.22,1624.12,379.73,0,1757.21,328.94,819.74,4412.51,980.33,0,95,0,0,1037549,27113,0,9,15
"86",643,2022-10-05,92454.26,2482.18,22717.7,1582.27,370.57,0,1795.52,396.93,830.26,3974.4,983.44,2324.449,5.47,0,0,992591,29628,0,8,14
"87",644,2022-10-06,97610.03,2452.82,23104.88,1561.33,361.38,0,1620.28,277.94,786.55,3444.49,988.36,0,30.47,0,0,17962,30090,0,35,13
"88",645,2022-10-07,121262.99,2436.88,23322.84,1825.6,359.01,0,1734.24,342.58,800.53,3312.99,997.02,6500,18.29,0,0,1361959,30349,0,33,12
"89",646,2022-10-08,84065.73,2466.54,24162.09,2016.17,358.67,0,1545.16,386.55,788.68,4075.18,993.12,0,1.37,0,0,0,29347,0,31,11
"90",647,2022-10-09,90926.83,2653.79,24224.27,2074.11,402.12,0,1753.6,408.69,915.17,4797.53,499.79,0,66.31,0,0,556234,29547,0,29,10
"91",648,2022-10-10,69892.57,2584.27,18848.4,1868.12,392.45,0,1772.36,399.69,773.4,4769.94,496.69,4000,15.54,0,0,0,27632,0,27,9
"92",649,2022-10-11,77132.47,2503.97,20858.86,1811.46,368.8,0,2033.48,359.98,601.46,4585.96,496.11,3100,3.97,0,0,1118213,29244,0,25,8
"93",650,2022-10-12,143867.74,2461.76,20103.21,1775.72,372.69,0,1998.14,382.63,588.28,3925.91,495.34,2500,5.47,0,0,59,26986,0,23,7
"94",651,2022-10-13,82366.41,2424.3,19997.12,1759.76,369.99,0,1735.02,414.63,570.15,3910.39,497.98,0,51.14,0,0,1119198,28177,0,21,6
"95",652,2022-10-14,212794.07,2382.86,20095.78,2158.05,358.25,0,1697.01,461.75,351.67,3939.68,496.31,0,17.7,0,0,375489,26614,0,20,5
"96",653,2022-10-15,94575.15,2489.05,20631.01,2218.46,360.7,0,1560.55,445.64,510.43,3582.34,499.85,0,14.84,0,0,929553,27419,0,19,4
"97",654,2022-10-16,97601.83,2660.73,21438.91,2445.04,399.13,0,1724.26,451.99,548.91,3986.52,497.72,0,63.98,0,0,1152543,27804,0,18,3
"98",655,2022-10-17,92440.78,2608.07,20629.11,2406.18,402.53,0,1833.01,488.95,479.63,3770.78,494.25,6000,23.63,0,0,59,27659,28,17,2
"99",656,2022-10-18,119502.4,2505.08,20302.59,2512.14,407.67,0,2019.92,542.27,491.58,4665.64,503.76,3500,46.16,0,0,1154897,27966,27,16,1
"100",657,2022-10-19,84966.74,2460.2,14199.78,2834.11,396.23,0,2071.96,486.63,562.9,4528.7,500.81,13300,73.22,0,0,0,29038,26,15,0
"101",658,2022-10-20,86562.96,2432.05,13959.95,2796.13,390.79,0,3474.77,473.42,485.97,4813.07,545.37,16000,18.49,0,0,951402,28140,25,14,0
"102",659,2022-10-21,103074.25,2419.53,14042.68,2779.64,387.64,0,2947.81,540.92,400.8,4110.04,548.06,10900,53.41,0,0,1145012,28308,24,13,0
"103",660,2022-10-22,70005.65,2414.34,14175.31,2764.77,377.78,0,2247.22,489.62,440.66,3849.69,1178.89,1000,22.93,0,0,0,28961,23,12,0
"104",661,2022-10-23,76343.8,2657.56,15122.38,3033.52,426.26,0,2466.94,519.54,519.84,4214.96,1293.26,0,16.07,0,0,1013142,27071,22,11,0
"105",662,2022-10-24,74166.47,2584.26,14692.17,2953.52,418.26,0,2108.73,606.76,418.08,3992.12,1161.06,0,0,0,0,99160,27943,21,10,0
"106",663,2022-10-25,108077.92,2504.64,14401.55,2865.86,403.55,0,2110.23,558.06,451.71,3585.96,1217.11,25000,10.22,0.5,0,1007185,27589,20,9,0
"107",664,2022-10-26,107937.24,1665.86,13381.01,2431.87,393.67,0,2232.96,557.1,464.66,3343.89,1203.58,0,22.96,0.5,0,1171282,29993,19,8,0
"108",665,2022-10-27,366670.12,504.93,12609.35,1937.3,392.82,0,3428.33,544.93,369.55,3212.95,1200.05,31404.715,80.51,0,0,0,33694,18,35,0
"109",666,2022-10-28,191731.09,499.59,12520.85,1910.29,389.78,0,2258.6,501.69,339.63,2978.11,1223.84,0,18.42,0.75,0,908924,30731,17,33,0
"110",667,2022-10-29,144520.97,500.54,12579.12,1901.29,375.66,0,1963.46,543.1,582.4,3457.33,1223.81,0,29.46,0.75,0,1185318,29838,16,31,0
"111",668,2022-10-30,159740.27,533.07,13554.05,2079.56,430.28,0,2331.37,770.11,857.1,4612.23,1203.17,2350.217,56.05,0.75,0,170223,30025,15,29,0
"112",669,2022-10-31,146771.81,518.81,13611.69,2030.78,420.42,0,1946.69,758.51,713.16,3996.72,1251.92,0,37.8,0.75,0,1187154,28863,14,27,0
"113",670,2022-11-01,86747.64,499.84,13162.53,1955.33,396.28,0,2162.09,750.91,796.49,4718.58,1232,300,19.57,0,0,1218774,32779,13,25,0
"114",671,2022-11-02,78631.75,480.61,12648.23,1892.46,391.69,0,2275.15,928.44,792.95,4265.66,1303.54,9000,30.13,0,0,1214598,33679,12,23,0
"115",672,2022-11-03,98486.49,491.13,12741.94,1908.12,392.08,0,2084.14,764.7,906.37,4316.43,1226.57,15000,42.62,0,0,228229,30173,11,21,0
"116",673,2022-11-04,129110.57,488.77,16631.84,2245.59,386.66,0,2319.96,740.78,980.45,3912.65,1168.53,7900,25.89,0,0,1193650,30285,10,20,0
"117",674,2022-11-05,107948.93,487.76,17549.19,2363.8,382.52,0,2274.99,826.87,1246.11,4427.28,522.84,1251.319,12.19,0,0,1141867,28942,9,19,0
"118",675,2022-11-06,133145.14,535.76,19369.66,2621.21,428.69,0,2307.99,845.58,1432.2,5229.34,509.5,3000,16.69,0,0,0,30180,8,18,0
"119",676,2022-11-07,815464.58,514.28,50446.28,12528.74,416.18,0,4353.2,1142.34,1748.8,5184.14,504.59,49547.34,406.65,2.5,0,6140897,40330,7,17,0
"120",677,2022-11-08,368344.33,467.78,27187.1,7360.15,399.5,0,3468.28,1266.1,1566.04,5609.32,507.86,6793.714,112.28,2.5,0,1257521,34104,6,16,0
"121",678,2022-11-09,104041.28,463.54,17257.09,2296.08,376.53,0,2491.76,1073.76,1050.61,5335.54,514.46,1600,145.9,0,0,130,31597,5,15,0
"122",679,2022-11-10,102784.93,3820.21,19578.37,2440.63,390.28,0,2706.8,932.55,1176.07,5205.92,516.91,9500,64.87,0,0,1503518,31076,4,14,0
"123",680,2022-11-11,106817.97,6053.36,20644.61,2421.23,389.71,0,2674.66,902.23,1634.82,4448.74,600,0,24.02,0,0,1463032,30680,3,13,0
"124",681,2022-11-12,83195.04,7957.46,20251.95,2481.96,399.11,0,2807.53,853.7,1777.64,5206.73,600,0,2.52,0,0,1385852,29712,2,12,0
"125",682,2022-11-13,105927.29,7914.74,21192.31,2593.94,425.1,0,3125.87,855.06,2054.14,4681.29,600,250,3.5,0,0,1640278,31670,1,11,0
"126",683,2022-11-14,75761.06,7769.31,21197.26,2531.85,413.47,0,3451.71,876.91,1577.99,3744.77,515.16,3100,76.38,0,0,59,30668,0,10,0
"127",684,2022-11-15,90363.58,7531.65,21081.96,2739.29,402.19,0,3149.22,888.22,1465.37,3831.9,570.74,1500,48.34,0,0,832534,29960,0,9,0
"128",685,2022-11-16,98370,7344.26,21095.41,2898.29,392.92,0,2563.11,879.44,1100.92,3642.86,548.71,500,36.62,0,0,0,29243,0,8,0
"129",686,2022-11-17,99044.1,7318.84,21488.36,3096.33,390.86,0,2778.68,752.97,1168.75,3596.68,813.48,2500,21.26,0,0,540769,29453,0,7,0
"130",687,2022-11-18,139334.86,7286.46,23474.57,4033.31,386.8,925.68,3209.14,658.36,1052.87,3906.18,1100,8700,1.31,0.25,0,1764064,31397,0,6,0
"131",688,2022-11-19,122387.59,7334.74,24980.47,4363.18,388.66,1473.08,3388.67,576.03,1361.55,4874.53,1100,0,68.25,0.25,0,0,31821,0,5,0
"132",689,2022-11-20,107475.18,7699.23,23302.12,3642.79,427.38,1564.43,3186.32,629.5,1413.75,5776.75,1570,0,133.41,0.25,0,506528,31367,0,4,0
"133",690,2022-11-21,91245.66,7756.74,22914.05,3553.96,412.76,1518.6,3954.06,985.63,1145.56,6020.21,3047.59,7000,37.81,0,0,191,32595,0,3,0
"134",691,2022-11-22,393086.04,10587.34,36013.4,8778.45,402,1510.16,7285.1,1483.94,1817.92,6811.05,3706.2,37253.001,195.33,2.5,0,3448075,36768,0,2,0
"135",692,2022-11-23,350854.25,11325.02,39018.89,9415.25,391.94,1459.24,7882.55,2025.77,1810.32,6016.27,4078.04,44950,179.57,2.5,0,1724642,35433,0,1,0
"136",693,2022-11-24,394594.23,12355.21,28960.56,7015.63,388.43,1476.51,8905.87,1282.09,1606.16,6712.91,4089.94,0,103.78,2.5,0,2989618,37099,0,0,0
"137",694,2022-11-25,970826.56,20475.76,53032.91,9143.06,3709.77,1471.61,12299.14,1931.1,6398.14,11620.89,5739.93,1250,368.16,2.5,0,2624003,50669,0,0,0
"138",695,2022-11-26,485312.42,24298.49,38463.55,6835.06,4238.51,1499.45,9152.82,2414.41,1730.39,3692.94,4029.94,0,183.22,2.5,0,4582786,41909,0,0,0
"139",696,2022-11-27,390771.5,15898.05,31386.41,7069.03,4573.33,1527.08,9711.26,1937.99,2063.86,7062.96,4028.44,2500,137.59,2.5,0,1442663,42274,0,0,0
"140",697,2022-11-28,717438.57,24442.75,38121.82,8701.88,4641.06,1554.23,13464.2,2242.69,2509.55,7196.03,3996.1,0,318.84,2.5,0,4151501,46714,0,0,0
"141",698,2022-11-29,296818.93,12258.46,24997.03,4755.99,4516.46,1502.36,6343.5,1361.05,1819.21,2636.37,2325.72,0,233.85,2.5,0,1069042,35560,0,0,0
"142",699,2022-11-30,116048.12,6731.69,17427.45,2371.94,4338.18,1416.27,4365.93,733.13,1563.7,7608.92,1492.34,0,81.08,0,0,0,36198,0,0,0
"143",700,2022-12-01,117829.21,4198.82,13574.1,2399.69,2522.38,669.59,4546.33,888.13,1891.94,5807.87,2072.35,0,78.15,0,0,3344,35463,0,0,0
"144",701,2022-12-02,221781.22,2689.94,10464.62,1782.67,1768.51,486.41,4775.38,435.08,778.01,1744.35,2092.64,5700,98.06,1,1,1786704,38078,0,0,0
"145",702,2022-12-03,149263.02,1907.73,9415.05,1457.28,1739.8,497.56,4384.3,436.91,704.08,1410.02,2095.64,0,191.47,1,0,1639833,37179,0,0,0
"146",703,2022-12-04,163079.89,2134.84,10254.47,1606.09,1938.07,532.6,4223.39,396.79,722.03,2132.25,2099.27,0,87.23,1,0,0,39058,0,0,0
"147",704,2022-12-05,153751.34,1978.74,9753.91,1534.07,1728.73,494.14,4793.62,568.52,787.5,2170.88,2091.3,76.27,120.42,1,0,1604811,37234,0,0,0
"148",705,2022-12-06,174089.36,2013.95,9649.58,1500.35,1562.44,504.12,3874.28,515.37,935.27,2738.72,2086.28,3500,80.12,1,0,71827,34451,0,0,0
"149",706,2022-12-07,175496.96,2737.08,9282.34,1457.84,1517.12,489,4057.72,555.23,975.25,2885.16,2085.91,2250,70.14,0,0,1716482,35774,0,0,0
"150",707,2022-12-08,231701.99,5092.77,10389.5,1452.67,1497.4,487.96,3862.36,500.86,1360.35,3763.64,2072.68,3484.849,115.06,0,0,1294092,35974,0,28,0
"151",708,2022-12-09,327854.86,6392.68,11273.97,1467.84,1523.18,493.62,5397.53,773.32,1725.55,5345.39,2091.57,17500,169.06,0,1,105261,36900,0,27,0
"152",709,2022-12-10,358969.14,6547.07,11566.43,2064.03,1509.92,498.56,5117.26,646.31,2014.05,6376.33,2078.83,22200,586.93,2,0,1407823,38293,0,26,0
"153",710,2022-12-11,308888.53,7046.6,12326.26,3749.9,1688.2,541.34,5383.6,903.73,2162.61,6364.46,2065.84,900,772.07,2,0,1253565,37517,0,25,0
"154",711,2022-12-12,331439.84,6728.21,11817.45,4450.65,1611.15,518.18,5715.59,1186.09,2043.75,5122.11,2630.07,8230.176,633.53,2,0,114859,40368,0,24,0
"155",712,2022-12-13,199029.76,6523.6,11453.44,1505.73,1563.23,498.12,5625.1,854.26,1699.98,4573.72,3604.86,0,482.38,0,0,1343615,40435,0,23,0
"156",713,2022-12-14,216164.28,6352.82,11306.66,1462.08,1518.67,483.51,5805.31,937.3,1877.81,4447.09,4000,5650,589.72,0,0,0,38552,28,22,0
"157",714,2022-12-15,214146.7,6321.91,11022.05,1452.54,1506.95,486.3,6569.29,854.72,1819.43,4389.38,4000,0,559.37,0,0,2786134,39077,27,21,0
"158",715,2022-12-16,275707.07,6290,10575.88,1452.91,1491.58,487.71,6336.82,861.55,1601.14,3674.84,4000,0,628.55,0,1,139022,40340,26,20,0
"159",716,2022-12-17,152124.64,6236.86,10533.46,1448.85,1470.22,484.84,5717.29,746.21,1675.53,4654.82,4000,291.06,325.72,0,0,1349881,41005,25,19,0
